[Current] PAYMENT - Takes(s): 9.9, Count: 214, TPM: 1292.9, Sum(ms): 2500.2, Avg(ms): 11.7, 50th(ms): 12.1, 90th(ms): 13.6, 95th(ms): 14.2, 99th(ms): 15.2, 99.9th(ms): 16.3, Max(ms): 16.3
[Current] STOCK_LEVEL - Takes(s): 8.8, Count: 17, TPM: 115.7, Sum(ms): 135.0, Avg(ms): 8.0, 50th(ms): 8.4, 90th(ms): 8.9, 95th(ms): 8.9, 99th(ms): 8.9, 99.9th(ms): 8.9, Max(ms): 8.9
[Current] DELIVERY - Takes(s): 9.8, Count: 24, TPM: 147.2, Sum(ms): 1220.0, Avg(ms): 50.9, 50th(ms): 52.4, 90th(ms): 54.5, 95th(ms): 54.5, 99th(ms): 54.5, 99.9th(ms): 54.5, Max(ms): 54.5
[Current] NEW_ORDER - Takes(s): 9.9, Count: 232, TPM: 1406.8, Sum(ms): 4912.5, Avg(ms): 21.2, 50th(ms): 21.0, 90th(ms): 25.2, 95th(ms): 26.2, 99th(ms): 29.4, 99.9th(ms): 48.2, Max(ms): 48.2
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 22, TPM: 132.3, Sum(ms): 151.6, Avg(ms): 6.8, 50th(ms): 7.3, 90th(ms): 7.9, 95th(ms): 8.4, 99th(ms): 9.4, 99.9th(ms): 9.4, Max(ms): 9.4
[Current] PAYMENT - Takes(s): 10.0, Count: 272, TPM: 1634.2, Sum(ms): 3274.5, Avg(ms): 12.1, 50th(ms): 12.1, 90th(ms): 14.2, 95th(ms): 14.7, 99th(ms): 16.3, 99.9th(ms): 18.9, Max(ms): 18.9
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 19, TPM: 114.6, Sum(ms): 161.1, Avg(ms): 8.5, 50th(ms): 8.4, 90th(ms): 8.9, 95th(ms): 9.4, 99th(ms): 13.1, 99.9th(ms): 13.1, Max(ms): 13.1
[Current] DELIVERY - Takes(s): 9.8, Count: 27, TPM: 165.8, Sum(ms): 1322.9, Avg(ms): 48.9, 50th(ms): 48.2, 90th(ms): 54.5, 95th(ms): 58.7, 99th(ms): 62.9, 99.9th(ms): 62.9, Max(ms): 62.9
[Current] NEW_ORDER - Takes(s): 10.0, Count: 257, TPM: 1542.3, Sum(ms): 5117.8, Avg(ms): 19.9, 50th(ms): 19.9, 90th(ms): 24.1, 95th(ms): 25.2, 99th(ms): 27.3, 99.9th(ms): 30.4, Max(ms): 30.4
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 20, TPM: 121.2, Sum(ms): 126.1, Avg(ms): 6.3, 50th(ms): 6.8, 90th(ms): 7.9, 95th(ms): 7.9, 99th(ms): 7.9, 99.9th(ms): 7.9, Max(ms): 7.9
[Current] PAYMENT - Takes(s): 10.0, Count: 257, TPM: 1547.8, Sum(ms): 2965.5, Avg(ms): 11.5, 50th(ms): 11.5, 90th(ms): 13.6, 95th(ms): 14.2, 99th(ms): 15.2, 99.9th(ms): 16.3, Max(ms): 16.3
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 27, TPM: 165.9, Sum(ms): 218.8, Avg(ms): 8.1, 50th(ms): 8.4, 90th(ms): 8.9, 95th(ms): 9.4, 99th(ms): 10.0, 99.9th(ms): 10.0, Max(ms): 10.0
[Current] DELIVERY - Takes(s): 8.8, Count: 19, TPM: 129.8, Sum(ms): 902.9, Avg(ms): 47.5, 50th(ms): 48.2, 90th(ms): 56.6, 95th(ms): 56.6, 99th(ms): 58.7, 99.9th(ms): 58.7, Max(ms): 58.7
[Current] NEW_ORDER - Takes(s): 10.0, Count: 278, TPM: 1670.2, Sum(ms): 5506.9, Avg(ms): 19.8, 50th(ms): 19.9, 90th(ms): 24.1, 95th(ms): 25.2, 99th(ms): 28.3, 99.9th(ms): 31.5, Max(ms): 31.5
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 31, TPM: 190.3, Sum(ms): 213.4, Avg(ms): 6.9, 50th(ms): 7.3, 90th(ms): 7.9, 95th(ms): 7.9, 99th(ms): 11.5, 99.9th(ms): 11.5, Max(ms): 11.5
[Current] PAYMENT - Takes(s): 10.0, Count: 250, TPM: 1503.7, Sum(ms): 2924.7, Avg(ms): 11.7, 50th(ms): 11.5, 90th(ms): 13.6, 95th(ms): 14.7, 99th(ms): 17.8, 99.9th(ms): 35.7, Max(ms): 35.7
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 23, TPM: 139.7, Sum(ms): 186.8, Avg(ms): 8.1, 50th(ms): 7.9, 90th(ms): 10.0, 95th(ms): 10.5, 99th(ms): 11.5, 99.9th(ms): 11.5, Max(ms): 11.5
[Current] DELIVERY - Takes(s): 9.9, Count: 22, TPM: 132.7, Sum(ms): 1078.0, Avg(ms): 48.9, 50th(ms): 48.2, 90th(ms): 52.4, 95th(ms): 52.4, 99th(ms): 88.1, 99.9th(ms): 88.1, Max(ms): 88.1
[Current] NEW_ORDER - Takes(s): 9.9, Count: 256, TPM: 1547.6, Sum(ms): 5197.6, Avg(ms): 20.3, 50th(ms): 21.0, 90th(ms): 24.1, 95th(ms): 25.2, 99th(ms): 26.2, 99.9th(ms): 28.3, Max(ms): 28.3
[Current] ORDER_STATUS - Takes(s): 9.2, Count: 30, TPM: 196.0, Sum(ms): 181.2, Avg(ms): 6.0, 50th(ms): 6.3, 90th(ms): 7.3, 95th(ms): 7.3, 99th(ms): 7.9, 99.9th(ms): 7.9, Max(ms): 7.9
[Current] PAYMENT - Takes(s): 10.0, Count: 269, TPM: 1615.4, Sum(ms): 3132.1, Avg(ms): 11.6, 50th(ms): 12.1, 90th(ms): 13.1, 95th(ms): 13.6, 99th(ms): 15.2, 99.9th(ms): 44.0, Max(ms): 44.0
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 17, TPM: 103.1, Sum(ms): 139.6, Avg(ms): 8.2, 50th(ms): 8.4, 90th(ms): 9.4, 95th(ms): 9.4, 99th(ms): 9.4, 99.9th(ms): 9.4, Max(ms): 9.4
[Current] DELIVERY - Takes(s): 9.5, Count: 27, TPM: 170.1, Sum(ms): 1268.6, Avg(ms): 46.8, 50th(ms): 48.2, 90th(ms): 50.3, 95th(ms): 52.4, 99th(ms): 54.5, 99.9th(ms): 54.5, Max(ms): 54.5
