[Current] PAYMENT - Takes(s): 10.0, Count: 380, TPM: 2280.9, Sum(ms): 3265.7, Avg(ms): 8.6, 50th(ms): 8.4, 90th(ms): 10.0, 95th(ms): 10.5, 99th(ms): 25.2, 99.9th(ms): 54.5, Max(ms): 54.5
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 38, TPM: 228.2, Sum(ms): 94.2, Avg(ms): 2.5, 50th(ms): 2.6, 90th(ms): 3.1, 95th(ms): 3.1, 99th(ms): 3.7, 99.9th(ms): 3.7, Max(ms): 3.7
[Current] DELIVERY - Takes(s): 9.9, Count: 43, TPM: 259.8, Sum(ms): 841.0, Avg(ms): 19.6, 50th(ms): 19.9, 90th(ms): 22.0, 95th(ms): 23.1, 99th(ms): 25.2, 99.9th(ms): 25.2, Max(ms): 25.2
[Current] NEW_ORDER - Takes(s): 10.0, Count: 381, TPM: 2289.2, Sum(ms): 5199.2, Avg(ms): 13.7, 50th(ms): 13.1, 90th(ms): 16.3, 95th(ms): 17.8, 99th(ms): 31.5, 99.9th(ms): 62.9, Max(ms): 62.9
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 27, TPM: 164.0, Sum(ms): 72.6, Avg(ms): 2.7, 50th(ms): 3.1, 90th(ms): 3.1, 95th(ms): 3.7, 99th(ms): 3.7, 99.9th(ms): 3.7, Max(ms): 3.7
[Current] PAYMENT - Takes(s): 10.0, Count: 366, TPM: 2204.2, Sum(ms): 3473.7, Avg(ms): 9.5, 50th(ms): 8.4, 90th(ms): 10.5, 95th(ms): 13.6, 99th(ms): 30.4, 99.9th(ms): 159.4, Max(ms): 159.4
[Current] STOCK_LEVEL - Takes(s): 9.7, Count: 32, TPM: 197.1, Sum(ms): 79.5, Avg(ms): 2.5, 50th(ms): 2.6, 90th(ms): 3.1, 95th(ms): 3.1, 99th(ms): 3.1, 99.9th(ms): 3.1, Max(ms): 3.1
[Current] DELIVERY - Takes(s): 9.8, Count: 35, TPM: 213.5, Sum(ms): 687.4, Avg(ms): 19.6, 50th(ms): 19.9, 90th(ms): 21.0, 95th(ms): 21.0, 99th(ms): 39.8, 99.9th(ms): 39.8, Max(ms): 39.8
[Current] NEW_ORDER - Takes(s): 10.0, Count: 406, TPM: 2438.8, Sum(ms): 5446.5, Avg(ms): 13.4, 50th(ms): 13.1, 90th(ms): 15.2, 95th(ms): 16.8, 99th(ms): 35.7, 99.9th(ms): 56.6, Max(ms): 56.6
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 48, TPM: 291.3, Sum(ms): 121.6, Avg(ms): 2.5, 50th(ms): 2.6, 90th(ms): 3.1, 95th(ms): 3.1, 99th(ms): 3.1, 99.9th(ms): 3.1, Max(ms): 3.1
[Current] PAYMENT - Takes(s): 10.0, Count: 377, TPM: 2272.1, Sum(ms): 3308.7, Avg(ms): 8.8, 50th(ms): 8.4, 90th(ms): 10.0, 95th(ms): 10.5, 99th(ms): 29.4, 99.9th(ms): 54.5, Max(ms): 54.5
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 35, TPM: 213.9, Sum(ms): 90.3, Avg(ms): 2.6, 50th(ms): 2.6, 90th(ms): 3.1, 95th(ms): 3.1, 99th(ms): 5.8, 99.9th(ms): 5.8, Max(ms): 5.8
[Current] DELIVERY - Takes(s): 9.5, Count: 43, TPM: 270.4, Sum(ms): 826.5, Avg(ms): 19.2, 50th(ms): 19.9, 90th(ms): 21.0, 95th(ms): 21.0, 99th(ms): 23.1, 99.9th(ms): 23.1, Max(ms): 23.1
[Current] NEW_ORDER - Takes(s): 10.0, Count: 381, TPM: 2290.5, Sum(ms): 5194.2, Avg(ms): 13.6, 50th(ms): 13.1, 90th(ms): 15.7, 95th(ms): 16.8, 99th(ms): 37.7, 99.9th(ms): 65.0, Max(ms): 65.0
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 42, TPM: 256.4, Sum(ms): 108.4, Avg(ms): 2.6, 50th(ms): 2.6, 90th(ms): 3.1, 95th(ms): 3.7, 99th(ms): 4.2, 99.9th(ms): 4.2, Max(ms): 4.2
[Current] PAYMENT - Takes(s): 10.0, Count: 390, TPM: 2341.7, Sum(ms): 3461.5, Avg(ms): 8.9, 50th(ms): 8.4, 90th(ms): 10.0, 95th(ms): 11.0, 99th(ms): 32.5, 99.9th(ms): 50.3, Max(ms): 50.3
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 24, TPM: 144.8, Sum(ms): 58.4, Avg(ms): 2.4, 50th(ms): 2.6, 90th(ms): 2.6, 95th(ms): 2.6, 99th(ms): 4.2, 99.9th(ms): 4.2, Max(ms): 4.2
